belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.8 0.2],0,[0.95 0.  ],0
[0.33009709 0.66990291],0,[0.95 0.  ],1
[0.00598802 0.99401198],1,[-9.5   0.95],None
[0.5 0.5],0,[0.95 0.  ],0
[0.22972973 0.77027027],0,[0.95 0.  ],1
[0.00413223 0.99586777],1,[-9.5   0.95],None
[0.2 0.8],0,[0.95 0.  ],0
[0.10365854 0.89634146],0,[0.95 0.  ],1
[0.00184502 0.99815498],1,[-9.5   0.95],None
[0.2 0.8],0,[0.95 0.  ],0
[0.10365854 0.89634146],0,[0.95 0.  ],1
[0.00184502 0.99815498],1,[-9.5   0.95],None
[0.10042224 0.89957776],0,[0.95 0.  ],0
[0.0543585 0.9456415],1,[-9.5   0.95],None
[0.93106634 0.06893366],0,[0.95 0.  ],0
[0.36779723 0.63220277],0,[0.95 0.  ],1
[0.00669327 0.99330673],1,[-9.5   0.95],None
[0.16838654 0.83161346],0,[0.95 0.  ],0
[0.08846725 0.91153275],0,[0.95 0.  ],1
[0.00157264 0.99842736],1,[-9.5   0.95],None
[0.57084888 0.42915112],0,[0.95 0.  ],0
[0.25543432 0.74456568],0,[0.95 0.  ],0
[0.12932967 0.87067033],0,[0.95 0.  ],0
[0.06911543 0.93088457],1,[-9.5   0.95],None
[0.83876128 0.16123872],0,[0.95 0.  ],0
[0.34159161 0.65840839],0,[0.95 0.  ],1
[0.00620257 0.99379743],1,[-9.5   0.95],None
[0.10776464 0.89223536],0,[0.95 0.  ],0
[0.05814263 0.94185737],1,[-9.5   0.95],None
[0.37701682 0.62298318],0,[0.95 0.  ],0
[0.18167819 0.81832181],0,[0.95 0.  ],0
[0.09490466 0.90509534],0,[0.95 0.  ],0
[0.0514985 0.9485015],1,[-9.5   0.95],None
[0.55159733 0.44840267],0,[0.95 0.  ],0
[0.24858344 0.75141656],0,[0.95 0.  ],1
[0.00447845 0.99552155],1,[-9.5   0.95],None
[0.90378473 0.09621527],0,[0.95 0.  ],0
[0.36021723 0.63978277],0,[0.95 0.  ],1
[0.00655111 0.99344889],1,[-9.5   0.95],None
[0.27179796 0.72820204],0,[0.95 0.  ],0
[0.1366822 0.8633178],0,[0.95 0.  ],1
[0.0024395 0.9975605],1,[-9.5   0.95],None
[0.10042224 0.89957776],0,[0.95 0.  ],0
[0.0543585 0.9456415],1,[-9.5   0.95],None
[0.93106634 0.06893366],0,[0.95 0.  ],0
[0.36779723 0.63220277],0,[0.95 0.  ],1
[0.00669327 0.99330673],1,[-9.5   0.95],None
[0.10042224 0.89957776],0,[0.95 0.  ],0
[0.0543585 0.9456415],1,[-9.5   0.95],None
[0.93106634 0.06893366],0,[0.95 0.  ],0
[0.36779723 0.63220277],0,[0.95 0.  ],1
[0.00669327 0.99330673],1,[-9.5   0.95],None
[0.16838654 0.83161346],0,[0.95 0.  ],0
[0.08846725 0.91153275],0,[0.95 0.  ],1
[0.00157264 0.99842736],1,[-9.5   0.95],None
[0.57084888 0.42915112],0,[0.95 0.  ],0
[0.25543432 0.74456568],0,[0.95 0.  ],0
[0.12932967 0.87067033],0,[0.95 0.  ],0
[0.06911543 0.93088457],1,[-9.5   0.95],None
[0.83876128 0.16123872],0,[0.95 0.  ],0
[0.34159161 0.65840839],0,[0.95 0.  ],1
[0.00620257 0.99379743],1,[-9.5   0.95],None
[0.10776464 0.89223536],0,[0.95 0.  ],0
[0.05814263 0.94185737],1,[-9.5   0.95],None
[0.37701682 0.62298318],0,[0.95 0.  ],0
[0.18167819 0.81832181],0,[0.95 0.  ],0
[0.09490466 0.90509534],0,[0.95 0.  ],0
[0.0514985 0.9485015],1,[-9.5   0.95],None
[0.55159733 0.44840267],0,[0.95 0.  ],0
[0.24858344 0.75141656],0,[0.95 0.  ],1
[0.00447845 0.99552155],1,[-9.5   0.95],None
[0.90378473 0.09621527],0,[0.95 0.  ],0
[0.36021723 0.63978277],0,[0.95 0.  ],1
[0.00655111 0.99344889],1,[-9.5   0.95],None
[0.27179796 0.72820204],0,[0.95 0.  ],0
[0.1366822 0.8633178],0,[0.95 0.  ],1
[0.0024395 0.9975605],1,[-9.5   0.95],None
[0.93077139 0.06922861],0,[0.95 0.  ],0
[0.367716 0.632284],0,[0.95 0.  ],0
[0.17785273 0.82214727],0,[0.95 0.  ],0
[0.09305947 0.90694053],0,[0.95 0.  ],1
[0.00165491 0.99834509],1,[-9.5   0.95],None
[0.96134721 0.03865279],0,[0.95 0.  ],0
[0.37605455 0.62394545],0,[0.95 0.  ],1
[0.00684834 0.99315166],1,[-9.5   0.95],None
[0.06406103 0.93593897],1,[-9.5   0.95],None
[0.32695124 0.67304876],0,[0.95 0.  ],0
[0.16074616 0.83925384],0,[0.95 0.  ],1
[0.00287475 0.99712525],1,[-9.5   0.95],None
[0.33829186 0.66170814],0,[0.95 0.  ],0
[0.16556159 0.83443841],0,[0.95 0.  ],1
[0.00296206 0.99703794],1,[-9.5   0.95],None
[0.43435558 0.56564442],0,[0.95 0.  ],0
[0.20465202 0.79534798],0,[0.95 0.  ],1
[0.00367342 0.99632658],1,[-9.5   0.95],None
[0.85806863 0.14193137],0,[0.95 0.  ],0
[0.34720635 0.65279365],0,[0.95 0.  ],1
[0.00630752 0.99369248],1,[-9.5   0.95],None
[0.52768708 0.47231292],0,[0.95 0.  ],0
[0.23993719 0.76006281],0,[0.95 0.  ],1
[0.00431954 0.99568046],1,[-9.5   0.95],None
[0.28806172 0.71193828],0,[0.95 0.  ],0
[0.14389178 0.85610822],0,[0.95 0.  ],1
[0.00256972 0.99743028],1,[-9.5   0.95],None
[0.48392759 0.51607241],0,[0.95 0.  ],0
[0.22370556 0.77629444],0,[0.95 0.  ],1
[0.00402184 0.99597816],1,[-9.5   0.95],None
[0.43025345 0.56974655],0,[0.95 0.  ],1
[0.00787162 0.99212838],1,[-9.5   0.95],None
[0.81501083 0.18498917],0,[0.95 0.  ],0
[0.33458424 0.66541576],0,[0.95 0.  ],1
[0.00607173 0.99392827],1,[-9.5   0.95],None
[0.56663191 0.43336809],0,[0.95 0.  ],1
[0.01048884 0.98951116],1,[-9.5   0.95],None
[0.18390416 0.81609584],0,[0.95 0.  ],0
[0.09597555 0.90402445],0,[0.95 0.  ],1
[0.00170718 0.99829282],1,[-9.5   0.95],None
[0.91543531 0.08456469],0,[0.95 0.  ],0
[0.3634708 0.6365292],0,[0.95 0.  ],1
[0.00661211 0.99338789],1,[-9.5   0.95],None
[0.86282845 0.13717155],0,[0.95 0.  ],0
[0.34857946 0.65142054],0,[0.95 0.  ],1
[0.00633321 0.99366679],1,[-9.5   0.95],None
[0.35430247 0.64569753],0,[0.95 0.  ],1
[0.00644031 0.99355969],1,[-9.5   0.95],None
[0.53871408 0.46128592],0,[0.95 0.  ],1
[0.00994806 0.99005194],1,[-9.5   0.95],None
[0.09403842 0.90596158],0,[0.95 0.  ],0
[0.05104821 0.94895179],1,[-9.5   0.95],None
[0.25763188 0.74236812],0,[0.95 0.  ],0
[0.13032291 0.86967709],0,[0.95 0.  ],1
[0.00232477 0.99767523],1,[-9.5   0.95],None
[0.75271048 0.24728952],0,[0.95 0.  ],1
[0.01416093 0.98583907],1,[-9.5   0.95],None
[0.88904007 0.11095993],0,[0.95 0.  ],0
[0.35606374 0.64393626],0,[0.95 0.  ],1
[0.00647329 0.99352671],1,[-9.5   0.95],None
[0.03702221 0.96297779],1,[-9.5   0.95],None
[0.65753594 0.34246406],0,[0.95 0.  ],0
[0.28511586 0.71488414],0,[0.95 0.  ],1
[0.00515244 0.99484756],1,[-9.5   0.95],None
[0.77875358 0.22124642],0,[0.95 0.  ],0
[0.32366713 0.67633287],0,[0.95 0.  ],1
[0.00586819 0.99413181],1,[-9.5   0.95],None
[0.5296885 0.4703115],0,[0.95 0.  ],0
[0.24066687 0.75933313],0,[0.95 0.  ],1
[0.00433294 0.99566706],1,[-9.5   0.95],None
[0.13478219 0.86521781],0,[0.95 0.  ],0
[0.07185689 0.92814311],1,[-9.5   0.95],None
[0.24746546 0.75253454],0,[0.95 0.  ],0
[0.12571264 0.87428736],0,[0.95 0.  ],1
[0.00224167 0.99775833],1,[-9.5   0.95],None
[0.36462724 0.63537276],0,[0.95 0.  ],0
[0.17657603 0.82342397],0,[0.95 0.  ],1
[0.00316203 0.99683797],1,[-9.5   0.95],None
[0.47128109 0.52871891],0,[0.95 0.  ],0
[0.2189134 0.7810866],0,[0.95 0.  ],1
[0.0039341 0.9960659],1,[-9.5   0.95],None
[0.31385158 0.68614842],0,[0.95 0.  ],0
[0.15512848 0.84487152],0,[0.95 0.  ],1
[0.00277299 0.99722701],1,[-9.5   0.95],None
[0.54163342 0.45836658],0,[0.95 0.  ],0
[0.24499908 0.75500092],0,[0.95 0.  ],1
[0.00441254 0.99558746],1,[-9.5   0.95],None
[0.96411141 0.03588859],0,[0.95 0.  ],0
[0.37680031 0.62319969],0,[0.95 0.  ],1
[0.00686236 0.99313764],1,[-9.5   0.95],None
[0.71893244 0.28106756],0,[0.95 0.  ],0
[0.30505017 0.69494983],0,[0.95 0.  ],1
[0.00552196 0.99447804],1,[-9.5   0.95],None
[0.50361658 0.49638342],0,[0.95 0.  ],0
[0.23107519 0.76892481],0,[0.95 0.  ],1
[0.0041569 0.9958431],1,[-9.5   0.95],None
[0.84549301 0.15450699],0,[0.95 0.  ],0
[0.34355749 0.65644251],0,[0.95 0.  ],1
[0.00623931 0.99376069],1,[-9.5   0.95],None
[0.65162685 0.34837315],0,[0.95 0.  ],0
[0.28315109 0.71684891],0,[0.95 0.  ],1
[0.00511608 0.99488392],1,[-9.5   0.95],None
[0.75466598 0.24533402],0,[0.95 0.  ],0
[0.31626326 0.68373674],0,[0.95 0.  ],0
[0.15616721 0.84383279],0,[0.95 0.  ],0
[0.08248351 0.91751649],1,[-9.5   0.95],None
[0.12716507 0.87283493],0,[0.95 0.  ],0
[0.06802344 0.93197656],1,[-9.5   0.95],None
[0.61171277 0.38828723],0,[0.95 0.  ],0
[0.26965882 0.73034118],0,[0.95 0.  ],1
[0.00486676 0.99513324],1,[-9.5   0.95],None
[0.18235173 0.81764827],0,[0.95 0.  ],0
[0.09522891 0.90477109],0,[0.95 0.  ],0
[0.05166696 0.94833304],1,[-9.5   0.95],None
[0.70445555 0.29554445],0,[0.95 0.  ],1
[0.01319719 0.98680281],1,[-9.5   0.95],None
[0.17834116 0.82165884],0,[0.95 0.  ],0
[0.0932954 0.9067046],0,[0.95 0.  ],1
[0.00165914 0.99834086],1,[-9.5   0.95],None
[0.68286183 0.31713817],0,[0.95 0.  ],0
[0.29344368 0.70655632],0,[0.95 0.  ],1
[0.00530666 0.99469334],1,[-9.5   0.95],None
[0.69015285 0.30984715],0,[0.95 0.  ],0
[0.29581355 0.70418645],0,[0.95 0.  ],1
[0.00535059 0.99464941],1,[-9.5   0.95],None
[0.12315083 0.87684917],0,[0.95 0.  ],1
[0.00219552 0.99780448],1,[-9.5   0.95],None
[0.11747686 0.88252314],0,[0.95 0.  ],0
[0.06311035 0.93688965],1,[-9.5   0.95],None
[0.81538723 0.18461277],0,[0.95 0.  ],0
[0.33469617 0.66530383],0,[0.95 0.  ],1
[0.00607382 0.99392618],1,[-9.5   0.95],None
[0.5724444 0.4275556],0,[0.95 0.  ],0
[0.25599774 0.74400226],0,[0.95 0.  ],0
[0.12958449 0.87041551],0,[0.95 0.  ],0
[0.06924385 0.93075615],1,[-9.5   0.95],None
[0.41182977 0.58817023],0,[0.95 0.  ],0
[0.19574963 0.80425037],0,[0.95 0.  ],1
[0.003511 0.996489],1,[-9.5   0.95],None
[0.18732479 0.81267521],0,[0.95 0.  ],0
[0.09761719 0.90238281],0,[0.95 0.  ],1
[0.00173662 0.99826338],1,[-9.5   0.95],None
[0.84365837 0.15634163],0,[0.95 0.  ],0
[0.3430226 0.6569774],0,[0.95 0.  ],1
[0.00622931 0.99377069],1,[-9.5   0.95],None
[0.31805236 0.68194764],0,[0.95 0.  ],0
[0.15693647 0.84306353],0,[0.95 0.  ],1
[0.00280573 0.99719427],1,[-9.5   0.95],None
[0.76753874 0.23246126],0,[0.95 0.  ],0
[0.32023524 0.67976476],0,[0.95 0.  ],1
[0.00580428 0.99419572],1,[-9.5   0.95],None
[0.64717413 0.35282587],0,[0.95 0.  ],1
[0.01206367 0.98793633],1,[-9.5   0.95],None
[0.9693936 0.0306064],0,[0.95 0.  ],1
[0.01859112 0.98140888],1,[-9.5   0.95],None
[0.68962636 0.31037364],0,[0.95 0.  ],1
[0.01290265 0.98709735],1,[-9.5   0.95],None
[0.63045649 0.36954351],0,[0.95 0.  ],0
[0.27604318 0.72395682],0,[0.95 0.  ],1
[0.00498467 0.99501533],1,[-9.5   0.95],None
[0.68197241 0.31802759],0,[0.95 0.  ],0
[0.29315374 0.70684626],0,[0.95 0.  ],0
[0.14612923 0.85387077],0,[0.95 0.  ],0
[0.07752018 0.92247982],1,[-9.5   0.95],None
[0.9878889 0.0121111],0,[0.95 0.  ],0
[0.38316087 0.61683913],0,[0.95 0.  ],1
[0.00698197 0.99301803],1,[-9.5   0.95],None
[0.60089233 0.39910767],0,[0.95 0.  ],0
[0.26593353 0.73406647],0,[0.95 0.  ],1
[0.00479802 0.99520198],1,[-9.5   0.95],None
[0.60395189 0.39604811],0,[0.95 0.  ],0
[0.26698986 0.73301014],0,[0.95 0.  ],1
[0.00481751 0.99518249],1,[-9.5   0.95],None
[0.87914497 0.12085503],0,[0.95 0.  ],0
[0.35325362 0.64674638],0,[0.95 0.  ],1
[0.00642067 0.99357933],1,[-9.5   0.95],None
[0.39268586 0.60731414],0,[0.95 0.  ],0
[0.18805945 0.81194055],0,[0.95 0.  ],1
[0.0033709 0.9966291],1,[-9.5   0.95],None
[0.73058237 0.26941763],0,[0.95 0.  ],0
[0.30873653 0.69126347],0,[0.95 0.  ],1
[0.00559043 0.99440957],1,[-9.5   0.95],None
[0.36114962 0.63885038],0,[0.95 0.  ],0
[0.17513484 0.82486516],0,[0.95 0.  ],1
[0.00313584 0.99686416],1,[-9.5   0.95],None
[0.44614348 0.55385652],0,[0.95 0.  ],0
[0.20924895 0.79075105],0,[0.95 0.  ],1
[0.00375738 0.99624262],1,[-9.5   0.95],None
[0.61802279 0.38197721],0,[0.95 0.  ],0
[0.27181778 0.72818222],0,[0.95 0.  ],1
[0.00490662 0.99509338],1,[-9.5   0.95],None
[0.62390049 0.37609951],0,[0.95 0.  ],0
[0.27381996 0.72618004],0,[0.95 0.  ],1
[0.00494359 0.99505641],1,[-9.5   0.95],None
[0.23192419 0.76807581],0,[0.95 0.  ],1
[0.00417247 0.99582753],1,[-9.5   0.95],None
[0.94809782 0.05190218],0,[0.95 0.  ],0
[0.37246147 0.62753853],0,[0.95 0.  ],1
[0.00678084 0.99321916],1,[-9.5   0.95],None
[0.176153 0.823847],0,[0.95 0.  ],0
[0.09223766 0.90776234],0,[0.95 0.  ],0
[0.05011102 0.94988898],1,[-9.5   0.95],None
[0.41334988 0.58665012],0,[0.95 0.  ],1
[0.00755147 0.99244853],1,[-9.5   0.95],None
[0.15809426 0.84190574],0,[0.95 0.  ],0
[0.0834314 0.9165686],0,[0.95 0.  ],1
[0.0014825 0.9985175],1,[-9.5   0.95],None
[0.2308633 0.7691367],0,[0.95 0.  ],0
[0.118099 0.881901],0,[0.95 0.  ],0
[0.06342711 0.93657289],1,[-9.5   0.95],None
[0.96142539 0.03857461],0,[0.95 0.  ],0
[0.37607567 0.62392433],0,[0.95 0.  ],1
[0.00684874 0.99315126],1,[-9.5   0.95],None
[0.8357684 0.1642316],0,[0.95 0.  ],0
[0.34071474 0.65928526],0,[0.95 0.  ],1
[0.00618619 0.99381381],1,[-9.5   0.95],None
[0.78186059 0.21813941],0,[0.95 0.  ],1
[0.01474708 0.98525292],1,[-9.5   0.95],None
[0.05782276 0.94217724],1,[-9.5   0.95],None
[0.64505632 0.35494368],0,[0.95 0.  ],1
[0.01202198 0.98797802],1,[-9.5   0.95],None
[0.93118984 0.06881016],0,[0.95 0.  ],1
[0.01779759 0.98220241],1,[-9.5   0.95],None
[0.15526859 0.84473141],0,[0.95 0.  ],1
[0.00277552 0.99722448],1,[-9.5   0.95],None
[0.44009166 0.55990834],0,[0.95 0.  ],0
[0.20689416 0.79310584],0,[0.95 0.  ],1
[0.00371436 0.99628564],1,[-9.5   0.95],None
[0.75658662 0.24341338],0,[0.95 0.  ],0
[0.31685813 0.68314187],0,[0.95 0.  ],1
[0.00574143 0.99425857],1,[-9.5   0.95],None
[0.32377846 0.67622154],0,[0.95 0.  ],0
[0.15939102 0.84060898],0,[0.95 0.  ],1
[0.0028502 0.9971498],1,[-9.5   0.95],None
[0.03444526 0.96555474],1,[-9.5   0.95],None
[0.16271679 0.83728321],0,[0.95 0.  ],1
[0.00291047 0.99708953],1,[-9.5   0.95],None
[0.62282293 0.37717707],0,[0.95 0.  ],0
[0.27345353 0.72654647],0,[0.95 0.  ],1
[0.00493683 0.99506317],1,[-9.5   0.95],None
[0.96634363 0.03365637],0,[0.95 0.  ],0
[0.37740157 0.62259843],0,[0.95 0.  ],1
[0.00687366 0.99312634],1,[-9.5   0.95],None
[0.51298672 0.48701328],0,[0.95 0.  ],0
[0.23454408 0.76545592],0,[0.95 0.  ],0
[0.11979615 0.88020385],0,[0.95 0.  ],0
[0.06429034 0.93570966],1,[-9.5   0.95],None
[0.71853558 0.28146442],0,[0.95 0.  ],1
[0.01347755 0.98652245],1,[-9.5   0.95],None
[0.90938356 0.09061644],0,[0.95 0.  ],1
[0.01734707 0.98265293],1,[-9.5   0.95],None
[0.29029566 0.70970434],0,[0.95 0.  ],0
[0.14487453 0.85512547],0,[0.95 0.  ],1
[0.00258748 0.99741252],1,[-9.5   0.95],None
[0.31320374 0.68679626],0,[0.95 0.  ],0
[0.1548491 0.8451509],0,[0.95 0.  ],1
[0.00276793 0.99723207],1,[-9.5   0.95],None
[0.31020267 0.68979733],0,[0.95 0.  ],0
[0.15355299 0.84644701],0,[0.95 0.  ],1
[0.00274446 0.99725554],1,[-9.5   0.95],None
[0.68171391 0.31828609],0,[0.95 0.  ],0
[0.29306944 0.70693056],0,[0.95 0.  ],1
[0.00529972 0.99470028],1,[-9.5   0.95],None
[0.54197236 0.45802764],0,[0.95 0.  ],0
[0.24512145 0.75487855],0,[0.95 0.  ],1
[0.00441479 0.99558521],1,[-9.5   0.95],None
[0.44467764 0.55532236],0,[0.95 0.  ],0
[0.20867959 0.79132041],0,[0.95 0.  ],1
[0.00374697 0.99625303],1,[-9.5   0.95],None
[0.07024108 0.92975892],1,[-9.5   0.95],None
[0.86479189 0.13520811],0,[0.95 0.  ],0
[0.34914461 0.65085539],0,[0.95 0.  ],1
[0.00634378 0.99365622],1,[-9.5   0.95],None
[0.03812387 0.96187613],1,[-9.5   0.95],None
[0.47772061 0.52227939],0,[0.95 0.  ],0
[0.22135932 0.77864068],0,[0.95 0.  ],1
[0.00397887 0.99602113],1,[-9.5   0.95],None
[0.9691959 0.0308041],0,[0.95 0.  ],0
[0.3781686 0.6218314],0,[0.95 0.  ],1
[0.00688808 0.99311192],1,[-9.5   0.95],None
[0.46229574 0.53770426],0,[0.95 0.  ],1
[0.00848105 0.99151895],1,[-9.5   0.95],None
[0.50479182 0.49520818],0,[0.95 0.  ],0
[0.23151162 0.76848838],0,[0.95 0.  ],1
[0.00416491 0.99583509],1,[-9.5   0.95],None
[0.36858679 0.63141321],0,[0.95 0.  ],0
[0.17821209 0.82178791],0,[0.95 0.  ],1
[0.00319176 0.99680824],1,[-9.5   0.95],None
[0.77940213 0.22059787],0,[0.95 0.  ],0
[0.32386479 0.67613521],0,[0.95 0.  ],1
[0.00587187 0.99412813],1,[-9.5   0.95],None
[0.27018374 0.72981626],0,[0.95 0.  ],0
[0.13596133 0.86403867],0,[0.95 0.  ],1
[0.00242649 0.99757351],1,[-9.5   0.95],None
[0.21422934 0.78577066],0,[0.95 0.  ],0
[0.11036321 0.88963679],0,[0.95 0.  ],1
[0.00196545 0.99803455],1,[-9.5   0.95],None
[0.98942067 0.01057933],0,[0.95 0.  ],0
[0.38356731 0.61643269],0,[0.95 0.  ],1
[0.00698962 0.99301038],1,[-9.5   0.95],None
[0.97689941 0.02310059],0,[0.95 0.  ],0
[0.38023319 0.61976681],0,[0.95 0.  ],1
[0.0069269 0.9930731],1,[-9.5   0.95],None
[0.77457516 0.22542484],0,[0.95 0.  ],0
[0.32239156 0.67760844],0,[0.95 0.  ],1
[0.00584443 0.99415557],1,[-9.5   0.95],None
[0.06753182 0.93246818],1,[-9.5   0.95],None
[0.21145167 0.78854833],0,[0.95 0.  ],0
[0.10906077 0.89093923],0,[0.95 0.  ],1
[0.00194204 0.99805796],1,[-9.5   0.95],None
[0.64330301 0.35669699],0,[0.95 0.  ],1
[0.01198748 0.98801252],1,[-9.5   0.95],None
[0.4844611 0.5155389],0,[0.95 0.  ],1
[0.00890458 0.99109542],1,[-9.5   0.95],None
[0.1330661 0.8669339],0,[0.95 0.  ],1
[0.00237424 0.99762576],1,[-9.5   0.95],None
[0.93914717 0.06085283],0,[0.95 0.  ],0
[0.37001668 0.62998332],0,[0.95 0.  ],1
[0.00673493 0.99326507],1,[-9.5   0.95],None
[0.90125241 0.09874759],0,[0.95 0.  ],0
[0.35950675 0.64049325],0,[0.95 0.  ],0
[0.17445261 0.82554739],0,[0.95 0.  ],0
[0.09141433 0.90858567],0,[0.95 0.  ],0
[0.04968202 0.95031798],1,[-9.5   0.95],None
[0.86510856 0.13489144],0,[0.95 0.  ],0
[0.34923569 0.65076431],0,[0.95 0.  ],1
[0.00634548 0.99365452],1,[-9.5   0.95],None
[0.72911514 0.27088486],0,[0.95 0.  ],0
[0.3082739 0.6917261],0,[0.95 0.  ],1
[0.00558184 0.99441816],1,[-9.5   0.95],None
[0.01350498 0.98649502],1,[-9.5   0.95],None
[0.79789606 0.20210394],0,[0.95 0.  ],0
[0.3294645 0.6705355],0,[0.95 0.  ],1
[0.00597623 0.99402377],1,[-9.5   0.95],None
[0.7781714 0.2218286],0,[0.95 0.  ],0
[0.32348962 0.67651038],0,[0.95 0.  ],0
[0.15926748 0.84073252],0,[0.95 0.  ],0
[0.08400771 0.91599229],0,[0.95 0.  ],0
[0.04580851 0.95419149],1,[-9.5   0.95],None
[0.29838669 0.70161331],0,[0.95 0.  ],0
[0.14841889 0.85158111],0,[0.95 0.  ],1
[0.00265157 0.99734843],1,[-9.5   0.95],None
[0.27583252 0.72416748],0,[0.95 0.  ],0
[0.13847973 0.86152027],0,[0.95 0.  ],1
[0.00247195 0.99752805],1,[-9.5   0.95],None
[0.47138759 0.52861241],0,[0.95 0.  ],0
[0.21895395 0.78104605],0,[0.95 0.  ],0
[0.11257152 0.88742848],0,[0.95 0.  ],0
[0.06060665 0.93939335],1,[-9.5   0.95],None
[0.82417093 0.17582907],0,[0.95 0.  ],0
[0.33730014 0.66269986],0,[0.95 0.  ],1
[0.00612242 0.99387758],1,[-9.5   0.95],None
[0.52621126 0.47378874],0,[0.95 0.  ],0
[0.23939844 0.76060156],0,[0.95 0.  ],1
[0.00430964 0.99569036],1,[-9.5   0.95],None
[0.74014391 0.25985609],0,[0.95 0.  ],1
[0.01390917 0.98609083],1,[-9.5   0.95],None
[0.18142956 0.81857044],0,[0.95 0.  ],1
[0.00325026 0.99674974],1,[-9.5   0.95],None
[0.47065032 0.52934968],0,[0.95 0.  ],0
[0.21867317 0.78132683],0,[0.95 0.  ],1
[0.00392971 0.99607029],1,[-9.5   0.95],None
[0.03513085 0.96486915],1,[-9.5   0.95],None
[0.54416229 0.45583771],0,[0.95 0.  ],0
[0.24591132 0.75408868],0,[0.95 0.  ],0
[0.12500441 0.87499559],0,[0.95 0.  ],0
[0.06693137 0.93306863],1,[-9.5   0.95],None
[0.56917488 0.43082512],0,[0.95 0.  ],0
[0.25484246 0.74515754],0,[0.95 0.  ],1
[0.00459363 0.99540637],1,[-9.5   0.95],None
[0.38094688 0.61905312],0,[0.95 0.  ],0
[0.18328616 0.81671384],0,[0.95 0.  ],1
[0.00328403 0.99671597],1,[-9.5   0.95],None
[0.01582502 0.98417498],1,[-9.5   0.95],None
[0.0517645 0.9482355],1,[-9.5   0.95],None
[0.07466337 0.92533663],1,[-9.5   0.95],None
[0.4066652 0.5933348],0,[0.95 0.  ],0
[0.19368638 0.80631362],0,[0.95 0.  ],0
[0.10065749 0.89934251],0,[0.95 0.  ],0
[0.05448012 0.94551988],1,[-9.5   0.95],None
[0.12107317 0.87892683],0,[0.95 0.  ],0
[0.06493902 0.93506098],1,[-9.5   0.95],None
[0.23038834 0.76961166],0,[0.95 0.  ],0
[0.11787962 0.88212038],0,[0.95 0.  ],1
[0.00210062 0.99789938],1,[-9.5   0.95],None
[0.89728757 0.10271243],0,[0.95 0.  ],1
[0.01709793 0.98290207],1,[-9.5   0.95],None
[0.85585186 0.14414814],0,[0.95 0.  ],0
[0.34656537 0.65343463],0,[0.95 0.  ],1
[0.00629554 0.99370446],1,[-9.5   0.95],None
[0.06683245 0.93316755],1,[-9.5   0.95],None
[0.25874171 0.74125829],0,[0.95 0.  ],0
[0.13082383 0.86917617],0,[0.95 0.  ],1
[0.0023338 0.9976662],1,[-9.5   0.95],None
[0.77194956 0.22805044],0,[0.95 0.  ],0
[0.32158816 0.67841184],0,[0.95 0.  ],1
[0.00582947 0.99417053],1,[-9.5   0.95],None
[0.2298769 0.7701231],0,[0.95 0.  ],0
[0.11764329 0.88235671],0,[0.95 0.  ],1
[0.00209637 0.99790363],1,[-9.5   0.95],None
[0.26113652 0.73886348],0,[0.95 0.  ],0
[0.13190315 0.86809685],0,[0.95 0.  ],1
[0.00235327 0.99764673],1,[-9.5   0.95],None
[0.01037454 0.98962546],1,[-9.5   0.95],None
[0.77939071 0.22060929],0,[0.95 0.  ],0
[0.3238613 0.6761387],0,[0.95 0.  ],1
[0.00587181 0.99412819],1,[-9.5   0.95],None
[0.71017096 0.28982904],0,[0.95 0.  ],0
[0.30225796 0.69774204],0,[0.95 0.  ],1
[0.00547013 0.99452987],1,[-9.5   0.95],None
[0.66421219 0.33578781],0,[0.95 0.  ],0
[0.28732578 0.71267422],0,[0.95 0.  ],1
[0.00519334 0.99480666],1,[-9.5   0.95],None
[0.38846469 0.61153531],0,[0.95 0.  ],0
[0.18634814 0.81365186],0,[0.95 0.  ],1
[0.00333975 0.99666025],1,[-9.5   0.95],None
[0.33989763 0.66010237],0,[0.95 0.  ],0
[0.16623987 0.83376013],0,[0.95 0.  ],1
[0.00297436 0.99702564],1,[-9.5   0.95],None
[0.88548243 0.11451757],0,[0.95 0.  ],1
[0.01685528 0.98314472],1,[-9.5   0.95],None
[0.87311971 0.12688029],0,[0.95 0.  ],0
[0.35153346 0.64846654],0,[0.95 0.  ],1
[0.00638848 0.99361152],1,[-9.5   0.95],None
[0.17690241 0.82309759],0,[0.95 0.  ],0
[0.09260014 0.90739986],0,[0.95 0.  ],1
[0.00164668 0.99835332],1,[-9.5   0.95],None
[0.28003702 0.71996298],0,[0.95 0.  ],0
[0.1403466 0.8596534],0,[0.95 0.  ],1
[0.00250566 0.99749434],1,[-9.5   0.95],None
[0.98115167 0.01884833],0,[0.95 0.  ],0
[0.38136847 0.61863153],0,[0.95 0.  ],1
[0.00694825 0.99305175],1,[-9.5   0.95],None
[0.47749982 0.52250018],0,[0.95 0.  ],0
[0.22127566 0.77872434],0,[0.95 0.  ],1
[0.00397734 0.99602266],1,[-9.5   0.95],None
[0.26197117 0.73802883],0,[0.95 0.  ],0
[0.13227882 0.86772118],0,[0.95 0.  ],1
[0.00236004 0.99763996],1,[-9.5   0.95],None
[0.75451791 0.24548209],0,[0.95 0.  ],0
