belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.56585337 0.43414663],0,[0.95 0.  ],0
[0.25366596 0.74633404],0,[0.95 0.  ],1
[0.00457197 0.99542803],1,[-9.5   0.95],None
[0.62055381 0.37944619],0,[0.95 0.  ],0
[0.27268099 0.72731901],0,[0.95 0.  ],1
[0.00492256 0.99507744],1,[-9.5   0.95],None
[0.47044323 0.52955677],0,[0.95 0.  ],1
[0.00863654 0.99136346],1,[-9.5   0.95],None
[0.00120797 0.99879203],1,[-9.5   0.95],None
[0.02333828 0.97666172],1,[-9.5   0.95],None
[0.93880623 0.06119377],0,[0.95 0.  ],0
[0.36992327 0.63007673],0,[0.95 0.  ],0
[0.17876315 0.82123685],0,[0.95 0.  ],0
[0.09349916 0.90650084],0,[0.95 0.  ],0
[0.05076771 0.94923229],1,[-9.5   0.95],None
[0.54945 0.45055],0,[0.95 0.  ],0
[0.24781321 0.75218679],0,[0.95 0.  ],1
[0.00446428 0.99553572],1,[-9.5   0.95],None
[0.79683789 0.20316211],0,[0.95 0.  ],0
[0.329146 0.670854],0,[0.95 0.  ],1
[0.00597029 0.99402971],1,[-9.5   0.95],None
[0.91695821 0.08304179],0,[0.95 0.  ],0
[0.36389426 0.63610574],0,[0.95 0.  ],1
[0.00662005 0.99337995],1,[-9.5   0.95],None
[0.86197332 0.13802668],0,[0.95 0.  ],1
[0.01637359 0.98362641],1,[-9.5   0.95],None
[0.16004404 0.83995596],0,[0.95 0.  ],0
[0.08438886 0.91561114],0,[0.95 0.  ],0
[0.04600847 0.95399153],1,[-9.5   0.95],None
[0.69838851 0.30161149],0,[0.95 0.  ],0
[0.29847584 0.70152416],0,[0.95 0.  ],1
[0.00539995 0.99460005],1,[-9.5   0.95],None
[0.68898851 0.31101149],0,[0.95 0.  ],0
[0.29543591 0.70456409],0,[0.95 0.  ],1
[0.00534358 0.99465642],1,[-9.5   0.95],None
[0.61865613 0.38134387],0,[0.95 0.  ],1
[0.01150355 0.98849645],1,[-9.5   0.95],None
[0.44427883 0.55572117],0,[0.95 0.  ],1
[0.00813796 0.99186204],1,[-9.5   0.95],None
[0.77793021 0.22206979],0,[0.95 0.  ],0
[0.32341606 0.67658394],0,[0.95 0.  ],1
[0.00586351 0.99413649],1,[-9.5   0.95],None
[0.12029226 0.87970774],0,[0.95 0.  ],0
[0.06454244 0.93545756],1,[-9.5   0.95],None
[0.38651302 0.61348698],0,[0.95 0.  ],0
[0.18555498 0.81444502],0,[0.95 0.  ],1
[0.00332531 0.99667469],1,[-9.5   0.95],None
[0.20467676 0.79532324],0,[0.95 0.  ],0
[0.10587113 0.89412887],0,[0.95 0.  ],0
[0.05716911 0.94283089],1,[-9.5   0.95],None
[0.65097993 0.34902007],0,[0.95 0.  ],0
[0.28293548 0.71706452],0,[0.95 0.  ],1
[0.00511209 0.99488791],1,[-9.5   0.95],None
[0.4469372 0.5530628],0,[0.95 0.  ],0
[0.20955697 0.79044303],0,[0.95 0.  ],0
[0.1081706 0.8918294],0,[0.95 0.  ],0
[0.05835113 0.94164887],1,[-9.5   0.95],None
[0.1187561 0.8812439],0,[0.95 0.  ],0
[0.06376149 0.93623851],1,[-9.5   0.95],None
[0.20744002 0.79255998],0,[0.95 0.  ],0
[0.1071743 0.8928257],0,[0.95 0.  ],1
[0.00190815 0.99809185],1,[-9.5   0.95],None
[0.82484145 0.17515855],0,[0.95 0.  ],0
[0.33749829 0.66250171],0,[0.95 0.  ],0
[0.16522606 0.83477394],0,[0.95 0.  ],1
[0.00295598 0.99704402],1,[-9.5   0.95],None
[0.06999316 0.93000684],1,[-9.5   0.95],None
[0.41486087 0.58513913],0,[0.95 0.  ],0
[0.19695667 0.80304333],0,[0.95 0.  ],0
[0.10221398 0.89778602],0,[0.95 0.  ],1
[0.00181909 0.99818091],1,[-9.5   0.95],None
[0.4604016 0.5395984],0,[0.95 0.  ],0
[0.21475356 0.78524644],0,[0.95 0.  ],1
[0.003858 0.996142],1,[-9.5   0.95],None
[0.98018027 0.01981973],0,[0.95 0.  ],0
[0.3811094 0.6188906],0,[0.95 0.  ],1
[0.00694338 0.99305662],1,[-9.5   0.95],None
[0.34057996 0.65942004],0,[0.95 0.  ],0
